,first_response_time,followers,prev_pullreqs,prior_review_num,social_strength,asserts_per_kloc,integrator_availability,open_pr_num,perc_external_contribs,project_age,requester_succ_rate,sloc,team_size,test_cases_per_kloc,test_lines_per_kloc,ci_latency,description_length,num_code_comments,num_code_comments_con,num_comments,num_comments_con,num_participants,part_num_code,churn_addition_open,churn_deletion_open,commits_on_files_touched_open,files_changed_open,num_commits_open,src_churn_open,test_churn_open,churn_addition_close,churn_deletion_close,commits_on_files_touched_close,files_changed_close,num_commits_close,src_churn_close,test_churn_close,churn_addition_change,churn_deletion_change,commits_on_files_touched_change,files_changed_change,num_commits_change,src_churn_change,test_churn_change,lifetime_minutes
first_response_time,1.0,-0.052485139440009806,-0.08866284022766016,-0.06838512740798149,-0.021756819865612172,-0.023096970685916162,0.13553720688448975,-0.07342652120334843,0.05775601223038061,0.03779574131412375,-0.0274488933149373,-0.09102379358016839,-0.15364619727169793,0.01825065679059132,-0.025043772410764907,0.04822305974753871,0.04760448944009392,0.07853070357481723,0.06339944758964901,0.0008729717293471831,0.09460705521502269,-0.07572725277721254,0.07313597309396863,0.11119817288630489,0.06534806512099788,-0.03692789767751704,0.07621083274744456,0.08534938985099644,0.10286025986045697,0.036998856753415334,0.13304128263687334,0.10292378512250817,-0.023513547401447597,0.1069900871146109,0.14736716184637888,0.12384898797375152,0.057678106988446165,0.13513738955172067,0.13083008141980595,0.07258986701501205,0.12481337632801384,0.14467355279100316,0.1321323840964671,0.07779462886595383,0.4184226677073899
followers,-0.052485139440009806,1.0,0.19662560113062733,0.11410654974294966,0.23977253606157498,0.1219950788454483,-0.01998077224868325,0.07871207350360018,0.006676282862379178,0.04633857502263324,-0.011752755723130509,-0.026291482235611802,0.013173274256911732,0.04416408341441315,0.14093422173852702,0.20119574751537148,0.09510437645232421,0.008008560548265825,0.034973953712988386,0.07662155719643239,0.09302877337980812,0.08337225256184443,0.011849153980345896,-0.018875166922707524,0.002388116080130118,0.0251241236270812,-0.023726909629385097,-0.010952274966708734,-0.020646094447816062,0.051588347257791344,-0.018902093391874906,-0.0037511804670389854,0.029682166290245973,-0.023431975504214622,-0.025031976129083863,-0.021360248115370767,0.0531462322790184,-0.010489998483586754,-0.014513578143078696,0.02084464205065099,-0.0018695147564087512,-0.017309534181960663,-0.013737604185473151,0.01660444044523765,0.011829615368278902
prev_pullreqs,-0.08866284022766016,0.19662560113062733,1.0,0.496099853858085,0.4317133973619835,0.06214592206551831,-0.23615602844155592,0.2686218471530169,-0.30075202553937996,0.15165350061199084,0.11112083261233158,0.2725983640825441,0.2208870032242225,0.05461962756489936,0.03855308518554741,0.10852022793178026,-0.04259195203618226,-0.029469119051136892,-0.004103617295632896,-0.11910306804702418,-0.04038875775490061,-0.1240212968690063,-0.027633843805542707,0.03337942014670837,0.08639544973939091,0.19644588689425474,0.10428064845972335,0.03827506611558443,0.03617618539051452,0.05106180356949657,0.021235809271008554,0.06071296325183036,0.19070607229371328,0.09005774893133077,-0.0021281226215960135,0.02411227130343527,0.041618193497095904,-0.0402948594182652,-0.03463593735066051,0.011748626441303277,-0.01670499575795985,-0.043054210676575194,-0.04053212653288606,-0.011119027319923803,-0.1763315780524218
prior_review_num,-0.06838512740798149,0.11410654974294966,0.496099853858085,1.0,0.05403209717462701,0.0728998745444873,-0.17467871797106735,0.48371636876901863,-0.0071030138788203126,0.3358306209663608,-0.07590371434553077,0.34992915263163465,0.2811696433720565,0.04287565561308609,0.04180003060579948,0.19135174199636784,0.07125415381745707,0.028807865518108888,0.034006218238772506,0.04571940470559929,0.024663119935056124,0.04773691077968793,0.03058062183624691,-0.02930130173219106,-0.0045512395121318746,0.06673285321991879,-0.024901352870895795,-0.016873498517602226,-0.029574523553680065,-0.0004023658131024064,-0.034999178858015394,-0.011872466146146636,0.06713847103960073,-0.03047332394716816,-0.01766924069950227,-0.035413813191737684,-0.0017807118710527453,-0.009712155408482172,-0.008585726461108965,0.006879738917131435,-0.01444555300478803,-0.00487174240260847,-0.01228832295814406,0.0015014781719371328,0.041433245726963344
social_strength,-0.021756819865612172,0.23977253606157498,0.4317133973619835,0.05403209717462701,1.0,0.012680510263394777,-0.13485203233541077,-0.09504264071253031,-0.2838965313233205,-0.22264244776590159,0.19824775289906826,9.652143544932748e-05,0.02123310439762991,0.0012397502656245178,0.009925814673180629,0.11786992385615455,-0.02760905788794625,0.07298324966141449,0.08366793944060093,0.01911242630968491,0.06364277319395568,0.013864410008419589,0.07404268618720464,0.14195143893440804,0.158482450801649,0.215398768911592,0.15757899293210761,0.10266979906885051,0.14056799310846102,0.09678337547756663,0.14151787369929966,0.15708129257618142,0.22033640184465964,0.15934353282283775,0.10423933326397213,0.14053562251777849,0.09920149133629177,0.06713885064723653,0.06944394150669629,0.07793418562743203,0.06246788940612288,0.06180234253559136,0.06609288179372619,0.04780460262572113,-0.11117223596025162
asserts_per_kloc,-0.023096970685916162,0.1219950788454483,0.06214592206551831,0.0728998745444873,0.012680510263394777,1.0,-0.06566645052762123,0.2119896283742443,-0.05561200414170277,0.19218966405656832,-0.06146296312190899,0.010813341677345224,0.17055514690844506,0.7595135112675836,0.817017523431368,0.30488404145483394,0.10974911409138619,0.08752886357351965,0.07984673160249034,0.13887593648294552,0.10693398764942735,0.14358331760538462,0.08854292240460526,0.052836165513939645,0.048827303497093986,-0.0120521144078431,0.021925603596740704,0.026772223755906828,-0.011202830265052506,0.2839537972630206,0.06133719773884485,0.058157038182031114,-0.0035157223979539313,0.03277512744343099,0.042837033795293064,-0.006132308372068167,0.3044797302829116,0.06149894625512117,0.05794576723031796,0.04466452163429798,0.04155735941919103,0.04685880128394409,0.03224692253068309,0.16893730985182612,0.10088298073269358
integrator_availability,0.13553720688448975,-0.01998077224868325,-0.23615602844155592,-0.17467871797106735,-0.13485203233541077,-0.06566645052762123,1.0,-0.2711871306874872,0.15223339669002367,-0.06073450753666495,-0.023071597806760123,-0.25000340344670413,-0.36236713836494916,-0.06165767250806622,-0.05666124942424475,-0.09096772612805866,-0.021687848897722104,-0.053360003563297315,-0.045814682556521755,-0.05127078157317021,-0.04375985173267567,-0.054513168734649585,-0.05515631994873389,-0.035228852215305306,-0.04788449849072679,-0.09626769145487411,-0.03570488097752193,-0.029639684848632053,-0.030344460309366626,-0.035165656144651586,-0.03660461769095277,-0.04858579691337999,-0.1019037392915764,-0.03804477112264853,-0.030017358432746298,-0.031571334745502694,-0.036338295548839224,-0.017584652201564816,-0.01881620196765684,-0.028163543809349115,-0.013025785684910602,-0.015899484575603567,-0.015292464598460995,-0.01627792024555345,0.07449745026522453
open_pr_num,-0.07342652120334843,0.07871207350360018,0.2686218471530169,0.48371636876901863,-0.09504264071253031,0.2119896283742443,-0.2711871306874872,1.0,0.09915127129027046,0.5053245003379881,-0.18347683015234145,0.5403164916454065,0.6970320735004932,0.16183834515568776,0.1809529230675395,0.2868932670953859,0.23378248584368788,0.13815861129441037,0.1228012590350894,0.26263658574557486,0.21588627597447396,0.27228086911893695,0.14202134049152457,0.003259513289381228,0.005422135483019864,-0.04670918998658858,-0.044806888269365186,0.01062258240873987,-0.015901451666384625,0.059147374652086596,0.005031623959592222,0.013182795709091134,-0.042788932145533955,-0.04187150953406704,0.03101133702492875,-0.014954793638543558,0.06497573970241026,0.04152286769777622,0.04066299599783534,0.014083705240342108,0.012791496325182658,0.044047966966195715,0.03244338675387066,0.049220706842006544,0.24798579147753125
perc_external_contribs,0.05775601223038061,0.006676282862379178,-0.30075202553937996,-0.0071030138788203126,-0.2838965313233205,-0.05561200414170277,0.15223339669002367,0.09915127129027046,1.0,0.09750175402378686,-0.06429110453904578,-0.06276893607449129,-0.0991425105162728,-0.053139614080425016,-0.05752228679701719,-0.025065571946574338,0.07023216525333302,-0.032346988212499025,-0.03144072231837916,0.04159228700815151,0.02104906072694574,0.04618535751372151,-0.032249397042507504,-0.08207138585151112,-0.10157800309223063,-0.17171048958571322,-0.11994965704209061,-0.07821948694601794,-0.08238413933850046,-0.06263454415307804,-0.0786134670508682,-0.09063994683470182,-0.17169030679057762,-0.11648941083262349,-0.04580707039139672,-0.07856909232737068,-0.06104822114039768,-0.0028579244980834312,-0.003675800061781694,-0.035284786503439934,-0.019366520184902748,0.008832347670061304,-0.0031075737990254333,-0.011371119495807859,0.12698743539720916
project_age,0.03779574131412375,0.04633857502263324,0.15165350061199084,0.3358306209663608,-0.22264244776590159,0.19218966405656832,-0.06073450753666495,0.5053245003379881,0.09750175402378686,1.0,-0.1299380621269692,0.3090797446396609,0.2269096978343696,0.182791601746102,0.1533668380227184,0.221454822780226,0.1333266600473036,0.0381059835712822,0.03610364539591646,0.08772147261394106,0.07700805930822681,0.0899019559683047,0.03998350076613907,-0.018564665876486305,-0.008778279892720564,-0.16095336454461368,-0.0447963105986377,-0.00310130434244993,-0.035924201110061185,0.046218365946902505,-0.024696957991597355,-0.013909993588501476,-0.1731390027498078,-0.05273974569251719,-0.005062743668403986,-0.042864427882631874,0.04718431593207517,-0.0037091234189578796,-0.003932955615685779,-0.04046931870365763,-0.022567946280964514,-0.002492860220572316,-0.011984748891890338,0.021807836006395364,0.154892513613901
